id,label,primary_slice,x,y,dist_own_centroid,z_within_slice,share_of_6_nearest_in_same_slice,knn_majority_slice
moseley,Saidi Moseley,singham-spine,672,-243,797,0.12,0.17,rubio-cuba
rub_black_panther_party,Black Panther Party,rubio-cuba,-767,500,1165,0.1,0.17,afgj-interlock
bugni,Renata Porto Bugni,singham-spine,29,-595,787,0.09,0.17,iran-network
rub_viva_palestina_us,Viva Palestina US,rubio-cuba,312,-874,1164,0.09,0.17,latam-solidarity
p_colorado_freedom_fund,Colorado Freedom Fund,afgj-interlock,850,8,810,0.06,0.17,rubio-cuba
rub_association_for_investment,Association for Investment in Popular Action Committees,rubio-cuba,-762,243,1141,0.06,0.17,afgj-interlock
rub_macheteros,Macheteros,rubio-cuba,398,-852,1140,0.06,0.17,afgj-projects
rub_f_4_commandos,F-4 Commandos,rubio-cuba,-649,-190,1133,0.05,0.17,afgj-projects
sunkara,Bhaskar Sunkara,rls-germany,-494,783,1087,0.04,0.17,afgj-interlock
taylor,Nancy Taylor,singham-spine,-282,-523,769,0.04,0.17,afgj-interlock
p_march_4_racial_justice,March 4 Racial Justice,afgj-interlock,285,-692,795,0.02,0.17,afgj-projects
per_firas_nasr,Firas Nasr,afgj-interlock,-596,543,797,0.02,0.17,singham-spine
henderson,Rita Henderson,singham-spine,109,-558,756,0.01,0.17,iran-network
p_red_de_solidaridad,Red de Solidaridad,afgj-projects,165,721,858,0.01,0.17,afgj-interlock
baker_gordon,General Gordon Baker Jr.,singham-spine,-593,635,744,-0.02,0.17,afgj-interlock
mfernandez,Mariana Fernandez,rls-germany,-38,744,1053,-0.03,0.17,afgj-interlock
rub_p_leonard_boudin,Leonard Boudin,rubio-cuba,-678,511,1080,-0.04,0.17,afgj-interlock
nmeyer,Neal Meyer,rls-germany,-419,734,1026,-0.09,0.17,afgj-interlock
per_elisabeth_epps,Elisabeth Epps,afgj-interlock,-331,718,752,-0.11,0.17,rubio-cuba
yee,Amanda Yee,hatuey,-340,-592,1221,-0.11,0.17,afgj-interlock
p_community_action_relief_project,Community Action Relief Project,afgj-projects,-801,-160,825,-0.12,0.17,rubio-cuba
p_national_immigrant_solidarity_network,National Immigrant Solidarity Network,afgj-projects,834,-266,822,-0.13,0.17,afgj-interlock
cook,Claire Cook,singham-spine,-302,-439,701,-0.14,0.17,afgj-interlock
bournous,Yiannis Bournous,rls-germany,10,672,996,-0.15,0.17,afgj-interlock
p_chicago_housing_initiative,Chicago Housing Initiative,afgj-interlock,-225,-617,732,-0.16,0.17,afgj-interlock
p_national_association_of_human_rights_d,National Association of Human Rights Defenders,afgj-projects,-770,-282,809,-0.18,0.17,afgj-interlock
wfp,Working Families Party,rls-germany,360,449,970,-0.21,0.17,singham-spine
rub_p_paul_larudee,Paul Larudee,rubio-cuba,544,-653,956,-0.23,0.17,afgj-interlock
ehmsen,Stefanie Ehmsen,rls-germany,409,377,951,-0.25,0.17,singham-spine
p_woodbine_education_center,Woodbine Education Center,afgj-projects,776,118,791,-0.25,0.17,afgj-interlock
per_rachel_o_leary_carmona,Rachel O'Leary Carmona,afgj-interlock,-137,742,700,-0.26,0.17,rls-germany
lowengard,Elizabeth Lowengard,singham-spine,-519,587,656,-0.26,0.17,afgj-interlock
wider,Phil Wider,singham-spine,395,717,655,-0.26,0.17,afgj-interlock
friendsatc,Friends of the ATC,latam-solidarity,-700,780,948,-0.31,0.17,afgj-projects
rub_olas,OLAS,rubio-cuba,641,-582,909,-0.31,0.17,afgj-interlock
cpc,Congressional Progressive Caucus,rls-germany,585,36,919,-0.32,0.17,afgj-interlock
croce,STEIN-DELLA CROCE,singham-spine,7,823,632,-0.33,0.17,latam-solidarity
ann_wright,Ann Wright,iran-network,-520,-441,893,-0.36,0.17,afgj-interlock
theoharis,Rev. Dr. Elizabeth Armen Liz Theoharis,singham-spine,279,733,608,-0.39,0.17,afgj-interlock
dsa_fund,DSA Fund,rls-germany,-806,420,879,-0.4,0.17,afgj-interlock
per_gary_ghirardi,Gary Ghirardi,afgj-interlock,327,652,652,-0.4,0.17,singham-spine
rub_naacp,NAACP,rubio-cuba,-417,-10,850,-0.4,0.17,afgj-projects
rub_venceremos_brigade,Venceremos Brigade,rubio-cuba,-170,-359,848,-0.4,0.17,afgj-interlock
p_action_bail_fund,Action Bail Fund,afgj-projects,-51,-868,747,-0.41,0.17,afgj-interlock
syriza,SYRIZA,rls-germany,553,-46,863,-0.43,0.17,afgj-interlock
p_kindred_connections,Kindred Connections,afgj-interlock,656,-46,624,-0.48,0.17,rls-germany
per_mychal_johnson,Mychal Johnson,afgj-interlock,564,406,623,-0.48,0.17,singham-spine
rub_african_national_congress,African National Congress,rubio-cuba,-15,979,795,-0.49,0.17,hatuey
per_t_dubb_o,T-Dubb-O,afgj-interlock,340,-467,610,-0.52,0.17,afgj-projects
alhusseini,Ibrahim AlHusseini,singham-spine,58,748,559,-0.52,0.17,rls-germany
mcalevey,Jane McAlevey,rls-germany,-841,312,819,-0.53,0.17,afgj-interlock
rub_thousand_currents,Thousand Currents,rubio-cuba,1144,338,767,-0.53,0.17,afgj-interlock
rub_p_suzanne_adely,Suzanne Adely,rubio-cuba,-327,91,733,-0.58,0.17,afgj-projects
